Moneda,Siglas,Precio,Cambio 1 h,Cambio 24 h,Cambio 7 d,Volumen en 24 horas,Cap. de mercado,FDV,Cap merc/FDV,Cluster,Grupo
Bitcoin,BTC,29307.18,0.1,-0.0,-1.5,7723718124,570402375708,615595340248,093,1,1
Ethereum,ETH,1839.65,0.1,-0.2,-0.7,4068070711,221092122908,221092122908,100,1,1
Tether,USDT,1.0,0.0,0.0,-0.0,10387278843,83318841504,83318841504,100,1,1
BNB,BNB,239.14,0.1,-0.4,-2.4,337229328,36784347479,47816544843,077,0,0
XRP,XRP,0.62,-0.5,-1.1,-2.8,831972828,32848276921,62227631637,053,0,0
USD Coin,USDC,1.0,0.0,-0.0,-0.0,1955674086,25934692670,25934642302,100,0,0
Lido Staked Ether,STETH,1838.45,0.1,-0.2,-0.7,18060501,14939494488,14945387327,100,0,0
Dogecoin,DOGE,0.07,-0.5,-1.1,-2.5,416783644,10315219673,10315227743,100,0,0
Cardano,ADA,0.29,-0.4,-0.6,-4.4,108584915,10078925610,12941971261,078,0,0
Solana,SOL,24.62,-0.3,-0.6,2.0,342299308,10009146571,13677420671,073,0,0
TRON,TRX,0.08,0.1,-0.3,0.5,162765800,6901713939,6901715535,100,0,0
Polkadot,DOT,4.93,-0.1,-1.0,-2.6,75008439,6239255923,6638618118,094,0,0
Shiba Inu,SHIB,0.0,-3.4,0.6,6.3,229472885,6156122543,10445742442,059,0,0
Polygon,MATIC,0.66,-0.4,-2.8,-4.3,148067993,6148783392,6597782928,093,0,0
Litecoin,LTC,81.32,-0.0,-0.9,-3.8,304308016,5983292607,6833856961,088,0,0
Toncoin,TON,1.47,0.8,0.8,16.7,34606013,5068726002,7505877193,068,0,0
Wrapped Bitcoin,WBTC,29314.77,0.1,-0.1,-1.5,37957401,4756276179,4756276179,100,0,2
Uniswap,UNI,6.22,-0.0,-0.6,2.2,64186130,4692214013,6225021904,075,0,0
Bitcoin Cash,BCH,236.38,0.0,3.3,-1.5,219720101,4602907534,4962781598,093,0,0
Avalanche,AVAX,12.17,-0.3,-1.1,-3.7,78416754,4184652617,8761754612,048,0,0
Dai,DAI,1.0,0.0,-0.0,-0.1,84521556,3928451253,3928989549,100,0,0
Chainlink,LINK,7.2,-0.4,-3.1,-2.1,216046206,3875975834,7203077572,054,0,0
LEO Token,LEO,3.98,0.5,-0.1,0.1,940418,3698756923,3920051498,094,0,0
Stellar,XLM,0.13,-0.3,-1.8,-6.6,75235053,3641339844,6649744956,055,0,0
Binance USD,BUSD,1.0,0.1,0.0,-0.2,1297725930,3349344217,3349344217,100,0,0
Monero,XMR,157.11,-0.0,-0.9,-1.6,67957410,2851671197,0,-,0,0
OKB,OKB,46.42,0.2,-0.8,0.8,3437588,2785480225,13927401127,020,0,0
TrueUSD,TUSD,1.0,0.0,0.1,-0.0,1807042713,2748759680,2748759680,100,0,0
Cosmos Hub,ATOM,8.42,0.2,-0.6,-2.5,107077485,2463107812,0,-,0,0
Ethereum Classic,ETC,17.19,-0.3,-1.3,-4.3,58882335,2451195744,3624162602,068,0,0
Hedera,HBAR,0.07,-1.8,3.7,13.7,333947561,2265766849,3437064036,066,0,0
Internet Computer,ICP,4.01,-0.2,-1.5,-3.4,18443986,1771198834,1882162626,094,0,0
Filecoin,FIL,3.93,-2.0,-3.5,-5.1,72802939,1740575439,7715856979,023,0,0
Aptos,APT,6.86,-0.8,-2.4,2.3,71288068,1548905263,7213774194,021,0,0
