#,Moneda,Precio,1 h,24 h,7 d,Volumen en 24 h,Cap. de mercado,FDV,Cap merc/FDV
1,Bitcoin BTC,"$29.307,18",0.1%,0.0%,-1.5%,$7.723.718.124,$570.402.375.708,$615.595.340.248,93
2,Ethereum ETH,"$1.839,65",0.1%,-0.2%,-0.7%,$4.068.070.711,$221.092.122.908,$221.092.122.908,100
3,Tether USDT,"$0,999196",0.0%,0.0%,0.0%,$10.387.278.843,$83.318.841.504,$83.318.841.504,100
4,BNB BNB,"$239,14",0.1%,-0.4%,-2.4%,$337.229.328,$36.784.347.479,$47.816.544.843,77
5,XRP XRP,"$0,621420",-0.5%,-1.1%,-2.8%,$831.972.828,$32.848.276.921,$62.227.631.637,53
6,USD Coin USDC,"$1,00",0.0%,0.0%,0.0%,$1.955.674.086,$25.934.692.670,$25.934.642.302,100
7,Lido Staked Ether STETH,"$1.838,45",0.1%,-0.2%,-0.7%,$18.060.501,$14.939.494.488,$14.945.387.327,100
8,Dogecoin DOGE,"$0,073272554283",-0.5%,-1.1%,-2.5%,$416.783.644,$10.315.219.673,$10.315.227.743,100
9,Cardano ADA,"$0,287258",-0.4%,-0.6%,-4.4%,$108.584.915,$10.078.925.610,$12.941.971.261,78
10,Solana SOL,"$24,62",-0.3%,-0.6%,2.0%,$342.299.308,$10.009.146.571,$13.677.420.671,73
11,TRON TRX,"$0,077180978534",0.1%,-0.3%,0.5%,$162.765.800,$6.901.713.939,$6.901.715.535,100
12,Polkadot DOT,"$4,93",-0.1%,-1.0%,-2.6%,$75.008.439,$6.239.255.923,$6.638.618.118,94
13,Shiba Inu SHIB,"$0,000010215454",-3.4%,0.6%,6.3%,$229.472.885,$6.156.122.543,$10.445.742.442,59
14,Polygon MATIC,"$0,658766",-0.4%,-2.8%,-4.3%,$148.067.993,$6.148.783.392,$6.597.782.928,93
15,Litecoin LTC,"$81,32",0.0%,-0.9%,-3.8%,$304.308.016,$5.983.292.607,$6.833.856.961,88
16,Toncoin TON,"$1,47",0.8%,0.8%,16.7%,$34.606.013,$5.068.726.002,$7.505.877.193,68
17,Wrapped Bitcoin WBTC,"$29.314,77",0.1%,-0.1%,-1.5%,$37.957.401,$4.756.276.179,$4.756.276.179,100
18,Uniswap UNI,"$6,22",0.0%,-0.6%,2.2%,$64.186.130,$4.692.214.013,$6.225.021.904,75
19,Bitcoin Cash BCH,"$236,38",0.0%,3.3%,-1.5%,$219.720.101,$4.602.907.534,$4.962.781.598,93
20,Avalanche AVAX,"$12,17",-0.3%,-1.1%,-3.7%,$78.416.754,$4.184.652.617,$8.761.754.612,48
21,Dai DAI,"$1,00",0.0%,0.0%,-0.1%,$84.521.556,$3.928.451.253,$3.928.989.549,100
22,Chainlink LINK,"$7,20",-0.4%,-3.1%,-2.1%,$216.046.206,$3.875.975.834,$7.203.077.572,54
23,LEO Token LEO,"$3,98",0.5%,-0.1%,0.1%,940.42,$3.698.756.923,$3.920.051.498,94
24,Stellar XLM,"$0,132809",-0.3%,-1.8%,-6.6%,$75.235.053,$3.641.339.844,$6.649.744.956,55
25,Binance USD BUSD,"$1,00",0.1%,0.0%,-0.2%,$1.297.725.930,$3.349.344.217,$3.349.344.217,100
